marca_std,subcategoria,faixa_preco,ciclo_idx,cod_ciclo,valor
Eudora,Máscara,P1,4,202405,9418.52
Eudora,Máscara,P1,5,202406,10896.300000000001
Eudora,Máscara,P1,6,202407,6351.6
Eudora,Máscara,P1,7,202408,8897.76
Eudora,Máscara,P1,8,202409,4517.2
Eudora,Máscara,P1,9,202410,6995.4
Eudora,Máscara,P1,10,202411,5883.77
Eudora,Máscara,P1,11,202412,3111.73
Eudora,Máscara,P1,12,202413,5996.27
Eudora,Máscara,P1,13,202414,5076.41
Eudora,Máscara,P1,14,202415,8421.02
Eudora,Máscara,P1,15,202416,7070.360000000001
Eudora,Máscara,P1,16,202417,13886.89
Eudora,Máscara,P1,17,202501,3967.87
Eudora,Máscara,P1,18,202502,3312.25
Eudora,Máscara,P1,19,202503,3475.2200000000003
Eudora,Máscara,P1,20,202504,5555.55
Eudora,Máscara,P1,21,202505,7032.05
Eudora,Máscara,P1,22,202506,7160.0
Eudora,Máscara,P1,23,202507,2479.12
Eudora,Máscara,P1,24,202508,5184.88
Eudora,Máscara,P1,25,202509,4133.93
Eudora,Máscara,P1,26,202510,3833.2000000000003
Eudora,Máscara,P1,27,202511,5566.43
Eudora,Máscara,P1,28,202512,4226.44
Eudora,Máscara,P1,29,202513,4871.17
Eudora,Máscara,P1,30,202514,5166.94
Eudora,Máscara,P1,31,202515,7182.9800000000005
Eudora,Máscara,P1,32,202516,5353.43
Eudora,Máscara,P1,33,202517,8054.72
Eudora,Máscara,P1,34,202601,2966.4500000000003
Eudora,Máscara,P1,35,202602,2483.27
Eudora,Máscara,P1,36,202603,3971.09
Eudora,Máscara,P1,37,202604,2891.96
Eudora,Máscara,P1,38,202605,4900.89
Eudora,Máscara,P1,39,202606,7297.56
Eudora,Máscara,P1,40,202607,3516.84
Eudora,Máscara,P1,41,202608,5721.400000000001
Eudora,Máscara,P1,42,202609,3511.4900000000002
Eudora,Máscara,P3,0,202401,17315.68
Eudora,Máscara,P3,1,202402,20654.3
Eudora,Máscara,P3,2,202403,25785.15
Eudora,Máscara,P3,3,202404,27416.81
Eudora,Máscara,P3,4,202405,29591.09
Eudora,Máscara,P3,5,202406,35363.99
Eudora,Máscara,P3,6,202407,17443.81
Eudora,Máscara,P3,7,202408,34130.72
Eudora,Máscara,P3,8,202409,11170.22
Eudora,Máscara,P3,9,202410,23183.68
Eudora,Máscara,P3,10,202411,26674.8
Eudora,Máscara,P3,11,202412,15162.61
Eudora,Máscara,P3,12,202413,18966.03
Eudora,Máscara,P3,13,202414,18549.97
Eudora,Máscara,P3,14,202415,25870.99
Eudora,Máscara,P3,15,202416,20575.63
Eudora,Máscara,P3,16,202417,36212.85
Eudora,Máscara,P3,17,202501,14105.79
Eudora,Máscara,P3,18,202502,12012.99
Eudora,Máscara,P3,19,202503,10802.41
Eudora,Máscara,P3,20,202504,22439.83
Eudora,Máscara,P3,21,202505,15698.37
Eudora,Máscara,P3,22,202506,18925.29
Eudora,Máscara,P3,23,202507,9506.5
Eudora,Máscara,P3,24,202508,16482.0
Eudora,Máscara,P3,25,202509,13431.8
Eudora,Máscara,P3,26,202510,11803.6
Eudora,Máscara,P3,27,202511,19932.16
Eudora,Máscara,P3,28,202512,9520.66
Eudora,Máscara,P3,29,202513,14929.75
Eudora,Máscara,P3,30,202514,17259.5
Eudora,Máscara,P3,31,202515,27789.420000000002
Eudora,Máscara,P3,32,202516,14886.14
Eudora,Máscara,P3,33,202517,22073.45
Eudora,Máscara,P3,34,202601,7274.75
Eudora,Máscara,P3,35,202602,9178.25
Eudora,Máscara,P3,36,202603,11428.5
Eudora,Máscara,P3,37,202604,14028.18
Eudora,Máscara,P3,38,202605,14945.89
Eudora,Máscara,P3,39,202606,24875.82
Eudora,Máscara,P3,40,202607,10371.16
Eudora,Máscara,P3,41,202608,23897.25
Eudora,Máscara,P3,42,202609,10114.73
Eudora,Máscara,P5,0,202401,42210.32
Eudora,Máscara,P5,1,202402,43662.68
Eudora,Máscara,P5,2,202403,55047.29
Eudora,Máscara,P5,3,202404,74193.31999999999
Eudora,Máscara,P5,4,202405,72387.47
Eudora,Máscara,P5,5,202406,91359.72
Eudora,Máscara,P5,6,202407,29931.47
Eudora,Máscara,P5,7,202408,85207.56999999999
Eudora,Máscara,P5,8,202409,39589.83
Eudora,Máscara,P5,9,202410,52270.21
Eudora,Máscara,P5,10,202411,55440.79
Eudora,Máscara,P5,11,202412,44627.03
Eudora,Máscara,P5,12,202413,48661.0
Eudora,Máscara,P5,13,202414,36843.47
Eudora,Máscara,P5,14,202415,80606.42
Eudora,Máscara,P5,15,202416,53119.61
Eudora,Máscara,P5,16,202417,100312.56
Eudora,Máscara,P5,17,202501,30202.399999999998
Eudora,Máscara,P5,18,202502,36223.659999999996
Eudora,Máscara,P5,19,202503,33360.619999999995
Eudora,Máscara,P5,20,202504,38833.75
Eudora,Máscara,P5,21,202505,53839.95
Eudora,Máscara,P5,22,202506,65555.34999999999
Eudora,Máscara,P5,23,202507,27086.199999999997
Eudora,Máscara,P5,24,202508,54146.08
Eudora,Máscara,P5,25,202509,32810.01
Eudora,Máscara,P5,26,202510,35661.64
Eudora,Máscara,P5,27,202511,53252.96
Eudora,Máscara,P5,28,202512,27862.0
Eudora,Máscara,P5,29,202513,36266.57
Eudora,Máscara,P5,30,202514,42181.2
Eudora,Máscara,P5,31,202515,63708.369999999995
Eudora,Máscara,P5,32,202516,50497.939999999995
Eudora,Máscara,P5,33,202517,66244.62
Eudora,Máscara,P5,34,202601,19446.629999999997
Eudora,Máscara,P5,35,202602,28972.79
Eudora,Máscara,P5,36,202603,44178.28
Eudora,Máscara,P5,37,202604,29131.12
Eudora,Máscara,P5,38,202605,38169.95
Eudora,Máscara,P5,39,202606,67343.4
Eudora,Máscara,P5,40,202607,30126.96
Eudora,Máscara,P5,41,202608,54504.21
Eudora,Máscara,P5,42,202609,32599.3
Eudora,Perfume Feminino,P1,0,202401,12301.01
Eudora,Perfume Feminino,P1,1,202402,16120.449999999999
Eudora,Perfume Feminino,P1,2,202403,15782.21
Eudora,Perfume Feminino,P1,3,202404,21846.61
Eudora,Perfume Feminino,P1,4,202405,20806.04
Eudora,Perfume Feminino,P1,5,202406,24953.6
Eudora,Perfume Feminino,P1,6,202407,12853.68
Eudora,Perfume Feminino,P1,7,202408,22464.739999999998
Eudora,Perfume Feminino,P1,8,202409,12107.8
Eudora,Perfume Feminino,P1,9,202410,16662.9
Eudora,Perfume Feminino,P1,10,202411,18344.02
Eudora,Perfume Feminino,P1,11,202412,10452.789999999999
Eudora,Perfume Feminino,P1,12,202413,13947.35
Eudora,Perfume Feminino,P1,13,202414,12307.96
Eudora,Perfume Feminino,P1,14,202415,21057.9
Eudora,Perfume Feminino,P1,15,202416,18264.7
Eudora,Perfume Feminino,P1,16,202417,28083.6
Eudora,Perfume Feminino,P1,17,202501,8162.68
Eudora,Perfume Feminino,P1,18,202502,8224.15
Eudora,Perfume Feminino,P1,19,202503,11790.4
Eudora,Perfume Feminino,P1,20,202504,11509.64
Eudora,Perfume Feminino,P1,21,202505,15479.75
Eudora,Perfume Feminino,P1,22,202506,17098.85
Eudora,Perfume Feminino,P1,23,202507,3974.37
Eudora,Perfume Feminino,P1,24,202508,5546.49
Eudora,Perfume Feminino,P1,25,202509,4546.46
Eudora,Perfume Feminino,P1,26,202510,7175.78
Eudora,Perfume Feminino,P1,27,202511,9007.09
Eudora,Perfume Feminino,P1,28,202512,4064.0
Eudora,Perfume Feminino,P1,29,202513,4941.88
Eudora,Perfume Feminino,P1,30,202514,7374.87
Eudora,Perfume Feminino,P1,31,202515,9766.78
Eudora,Perfume Feminino,P1,32,202516,6713.25
Eudora,Perfume Feminino,P1,33,202517,11561.74
Eudora,Perfume Feminino,P1,34,202601,4594.28
Eudora,Perfume Feminino,P1,35,202602,4990.85
Eudora,Perfume Feminino,P1,36,202603,7095.32
Eudora,Perfume Feminino,P1,37,202604,6450.48
Eudora,Perfume Feminino,P1,38,202605,6006.19
Eudora,Perfume Feminino,P1,39,202606,10364.4
Eudora,Perfume Feminino,P1,40,202607,5840.849999999999
Eudora,Perfume Feminino,P1,41,202608,8380.46
Eudora,Perfume Feminino,P1,42,202609,6833.4
Eudora,Perfume Feminino,P2,0,202401,8964.55
Eudora,Perfume Feminino,P2,1,202402,8106.91
Eudora,Perfume Feminino,P2,2,202403,13788.5
Eudora,Perfume Feminino,P2,3,202404,15590.68
Eudora,Perfume Feminino,P2,4,202405,13152.67
Eudora,Perfume Feminino,P2,5,202406,16910.72
Eudora,Perfume Masculino,P1,0,202401,6847.07
Eudora,Perfume Masculino,P1,1,202402,9138.06
Eudora,Perfume Masculino,P1,2,202403,9447.279999999999
Eudora,Perfume Masculino,P1,3,202404,11041.42
Eudora,Perfume Masculino,P1,4,202405,12682.35
Eudora,Perfume Masculino,P1,5,202406,13635.65
Eudora,Perfume Masculino,P1,6,202407,8240.92
Eudora,Perfume Masculino,P1,7,202408,12796.98
Eudora,Perfume Masculino,P1,8,202409,7867.889999999999
Eudora,Perfume Masculino,P1,9,202410,8878.02
Eudora,Perfume Masculino,P1,10,202411,14374.66
Eudora,Perfume Masculino,P1,11,202412,4736.59
Eudora,Perfume Masculino,P1,12,202413,7445.63
Eudora,Perfume Masculino,P1,13,202414,8195.63
Eudora,Perfume Masculino,P1,14,202415,11795.369999999999
Eudora,Perfume Masculino,P1,15,202416,11453.26
Eudora,Perfume Masculino,P1,16,202417,16598.43
Eudora,Perfume Masculino,P1,17,202501,4329.68
Eudora,Perfume Masculino,P1,18,202502,5479.38
Eudora,Perfume Masculino,P1,19,202503,6894.79
Eudora,Perfume Masculino,P1,20,202504,8749.14
Eudora,Perfume Masculino,P1,21,202505,11055.699999999999
Eudora,Perfume Masculino,P1,22,202506,9220.949999999999
Eudora,Perfume Masculino,P1,23,202507,3906.97
Eudora,Perfume Masculino,P1,24,202508,10159.97
Eudora,Perfume Masculino,P1,25,202509,5088.51
Eudora,Perfume Masculino,P1,26,202510,4411.57
Eudora,Perfume Masculino,P1,27,202511,8146.5
Eudora,Perfume Masculino,P1,28,202512,4840.9
Eudora,Perfume Masculino,P1,29,202513,7149.79
Eudora,Perfume Masculino,P1,30,202514,7532.79
Eudora,Perfume Masculino,P1,31,202515,10322.6
Eudora,Perfume Masculino,P1,32,202516,6987.57
Eudora,Perfume Masculino,P1,33,202517,12148.42
Eudora,Perfume Masculino,P1,34,202601,4336.5599999999995
Eudora,Perfume Masculino,P1,35,202602,4298.03
Eudora,Perfume Masculino,P1,36,202603,5830.71
Eudora,Perfume Masculino,P1,37,202604,3786.6
Eudora,Perfume Masculino,P1,38,202605,5513.92
Eudora,Perfume Masculino,P1,39,202606,10418.84
Eudora,Perfume Masculino,P1,40,202607,5560.68
Eudora,Perfume Masculino,P1,41,202608,8355.08
Eudora,Perfume Masculino,P1,42,202609,5821.73
Eudora,Perfume Masculino,P2,0,202401,12154.52
Eudora,Perfume Masculino,P2,1,202402,8209.1
Eudora,Perfume Masculino,P2,2,202403,16104.53
Eudora,Perfume Masculino,P2,3,202404,17033.36
Eudora,Perfume Masculino,P2,4,202405,17849.05
Eudora,Perfume Masculino,P2,5,202406,26834.24
Eudora,Perfume Masculino,P2,6,202407,12057.48
Eudora,Perfume Masculino,P2,7,202408,26216.22
Eudora,Perfume Masculino,P2,8,202409,11966.66
Eudora,Perfume Masculino,P2,9,202410,11929.55
Eudora,Perfume Masculino,P2,10,202411,15693.64
Eudora,Perfume Masculino,P2,11,202412,9428.75
Eudora,Perfume Masculino,P2,12,202413,16400.52
Eudora,Perfume Masculino,P2,13,202414,10787.32
Eudora,Perfume Masculino,P2,14,202415,18688.88
Eudora,Perfume Masculino,P2,15,202416,15546.960000000001
Eudora,Perfume Masculino,P2,16,202417,29518.37
Eudora,Perfume Masculino,P2,17,202501,7266.83
Eudora,Perfume Masculino,P2,18,202502,7393.1900000000005
Eudora,Perfume Masculino,P2,19,202503,6991.85
Eudora,Perfume Masculino,P2,20,202504,13695.73
Eudora,Perfume Masculino,P2,21,202505,13345.95
Eudora,Perfume Masculino,P2,22,202506,17180.17
Eudora,Perfume Masculino,P2,23,202507,7575.25
Eudora,Perfume Masculino,P2,24,202508,16590.29
Eudora,Perfume Masculino,P2,25,202509,8073.27
Eudora,Perfume Masculino,P2,26,202510,10289.72
Eudora,Perfume Masculino,P2,27,202511,13967.9
Eudora,Perfume Masculino,P2,28,202512,7619.93
Eudora,Perfume Masculino,P2,29,202513,12395.94
Eudora,Perfume Masculino,P2,30,202514,9163.48
Eudora,Perfume Masculino,P2,31,202515,17572.0
Eudora,Perfume Masculino,P2,32,202516,12469.62
Eudora,Perfume Masculino,P2,33,202517,20539.2
Eudora,Perfume Masculino,P2,34,202601,7732.71
Eudora,Perfume Masculino,P2,35,202602,7186.94
Eudora,Perfume Masculino,P2,36,202603,9937.52
Eudora,Perfume Masculino,P2,37,202604,6917.75
Eudora,Perfume Masculino,P2,38,202605,11514.31
Eudora,Perfume Masculino,P2,39,202606,19576.670000000002
Eudora,Perfume Masculino,P2,40,202607,9339.5
Eudora,Perfume Masculino,P2,41,202608,13366.77
Eudora,Perfume Masculino,P2,42,202609,8780.42
Eudora,Perfume Masculino,P3,0,202401,40789.6
Eudora,Perfume Masculino,P3,1,202402,17172.82
Eudora,Perfume Masculino,P3,2,202403,19197.02
Eudora,Perfume Masculino,P3,3,202404,23314.76
Eudora,Perfume Masculino,P3,4,202405,20794.96
Eudora,Perfume Masculino,P3,5,202406,27415.68
Eudora,Perfume Masculino,P3,6,202407,13418.43
Eudora,Perfume Masculino,P3,7,202408,25527.64
Eudora,Perfume Masculino,P3,8,202409,15721.88
Eudora,Perfume Masculino,P3,9,202410,17807.329999999998
Eudora,Perfume Masculino,P3,10,202411,25166.35
Eudora,Perfume Masculino,P3,11,202412,12601.02
Eudora,Perfume Masculino,P3,12,202413,15610.98
Eudora,Perfume Masculino,P3,13,202414,13677.779999999999
Eudora,Perfume Masculino,P3,14,202415,25717.86
Eudora,Perfume Masculino,P3,15,202416,15882.92
Eudora,Perfume Masculino,P3,16,202417,32836.5
Eudora,Perfume Masculino,P3,17,202501,9618.51
Eudora,Perfume Masculino,P3,18,202502,12969.34
Eudora,Perfume Masculino,P3,19,202503,14659.36
Eudora,Perfume Masculino,P3,20,202504,13599.08
Eudora,Perfume Masculino,P3,21,202505,15917.859999999999
Eudora,Perfume Masculino,P3,22,202506,26057.39
Eudora,Perfume Masculino,P3,23,202507,6884.889999999999
Eudora,Perfume Masculino,P3,24,202508,19614.649999999998
Eudora,Perfume Masculino,P3,25,202509,10471.27
Eudora,Perfume Masculino,P3,26,202510,11691.81
Eudora,Perfume Masculino,P3,27,202511,20363.39
Eudora,Perfume Masculino,P3,28,202512,8610.48
Eudora,Perfume Masculino,P3,29,202513,18038.35
Eudora,Perfume Masculino,P3,30,202514,10517.88
Eudora,Perfume Masculino,P3,31,202515,16570.29
Eudora,Perfume Masculino,P3,32,202516,14994.199999999999
Eudora,Perfume Masculino,P3,33,202517,24018.21
Eudora,Perfume Masculino,P3,34,202601,8555.119999999999
Eudora,Perfume Masculino,P3,35,202602,9088.41
Eudora,Perfume Masculino,P3,36,202603,7902.599999999999
Eudora,Perfume Masculino,P3,37,202604,10242.01
Eudora,Perfume Masculino,P3,38,202605,16109.17
Eudora,Perfume Masculino,P3,39,202606,20518.149999999998
Eudora,Perfume Masculino,P3,40,202607,9523.42
Eudora,Perfume Masculino,P3,41,202608,17143.46
Eudora,Perfume Masculino,P3,42,202609,16203.93
Eudora,Perfume Masculino,P4,0,202401,21142.05
Eudora,Perfume Masculino,P4,1,202402,27193.850000000002
Eudora,Perfume Masculino,P4,2,202403,28983.06
Eudora,Perfume Masculino,P4,3,202404,42770.29
Eudora,Perfume Masculino,P4,4,202405,37710.33
Eudora,Perfume Masculino,P4,5,202406,39188.71
Eudora,Perfume Masculino,P4,6,202407,22842.46
Eudora,Perfume Masculino,P4,7,202408,41899.94
Eudora,Perfume Masculino,P4,8,202409,20616.39
Eudora,Perfume Masculino,P4,9,202410,33085.3
Eudora,Perfume Masculino,P4,10,202411,28791.010000000002
Eudora,Perfume Masculino,P4,11,202412,13576.11
Eudora,Perfume Masculino,P4,12,202413,27771.96
Eudora,Perfume Masculino,P4,13,202414,20586.99
Eudora,Perfume Masculino,P4,14,202415,30734.87
Eudora,Perfume Masculino,P4,15,202416,26372.65
Eudora,Perfume Masculino,P4,16,202417,42709.22
Eudora,Perfume Masculino,P4,17,202501,18797.9
Eudora,Perfume Masculino,P4,18,202502,15957.33
Eudora,Perfume Masculino,P4,19,202503,19041.170000000002
Eudora,Perfume Masculino,P4,20,202504,22922.190000000002
Eudora,Perfume Masculino,P4,21,202505,28265.38
Eudora,Perfume Masculino,P4,22,202506,32964.22
Eudora,Perfume Masculino,P4,23,202507,16133.35
Eudora,Perfume Masculino,P4,24,202508,22026.71
Eudora,Perfume Masculino,P4,25,202509,20203.58
Eudora,Perfume Masculino,P4,26,202510,18823.8
Eudora,Perfume Masculino,P4,27,202511,23599.22
Eudora,Perfume Masculino,P4,28,202512,14529.94
Eudora,Perfume Masculino,P4,29,202513,16044.68
Eudora,Perfume Masculino,P4,30,202514,21012.99
Eudora,Perfume Masculino,P4,31,202515,39464.82
Eudora,Perfume Masculino,P4,32,202516,22680.5
Eudora,Perfume Masculino,P4,33,202517,37998.5
Eudora,Perfume Masculino,P4,34,202601,11336.35
Eudora,Perfume Masculino,P4,35,202602,9697.14
Eudora,Perfume Masculino,P4,36,202603,18887.39
Eudora,Perfume Masculino,P4,37,202604,15978.310000000001
Eudora,Perfume Masculino,P5,0,202401,28861.67
Eudora,Perfume Masculino,P5,1,202402,36265.72
Eudora,Perfume Masculino,P5,2,202403,42079.11
Eudora,Perfume Masculino,P5,3,202404,48290.15
Eudora,Perfume Masculino,P5,4,202405,49753.049999999996
Eudora,Perfume Masculino,P5,5,202406,76755.13
Eudora,Perfume Masculino,P5,6,202407,38640.93
Eudora,Perfume Masculino,P5,7,202408,56396.64
Eudora,Perfume Masculino,P5,8,202409,29150.48
Eudora,Perfume Masculino,P5,9,202410,46931.95
Eudora,Perfume Masculino,P5,10,202411,60984.22
Eudora,Perfume Masculino,P5,11,202412,34921.12
Eudora,Perfume Masculino,P5,12,202413,34989.02
Eudora,Perfume Masculino,P5,13,202414,32148.04
Eudora,Perfume Masculino,P5,14,202415,50247.63
Eudora,Perfume Masculino,P5,15,202416,49290.009999999995
