id_projeto,cod_sku_lancamento,investimento_mkt_rs,expectativa_gmv_ano1,cod_sku_x,marca_std,categoria,subcategoria,faixa_preco,preco_regular,margem_bruta_pct,cod_ciclo_phase_in,cod_ciclo_phase_out,phase_in_idx,phase_out_idx,t0_idx,n_post_roi,cod_sku_y,gmv_vida,mb_vida,min_idx,max_idx,n_ciclos,gmv,mb,qty,ciclos_expostos,ciclos_janela_roi,atingimento_bruto_vs_exp,att_status,att_soma,janela_roi_incompleta,peso_alocacao_gmv,gmv_spillover_alocado,gmv_incremental,mb_spillover_alocado,mb_incremental,c_pd,c_estoque,c_sustentacao,custo_observado_midia,custo_full_parametrizado,payback_parcial_midia,roi_parcial_midia,roi_full,selo,alerta_pouco_tempo,n_projetos
PROJ_2024_11,SKU_081,500000.0,2196702.07,SKU_081,Eudora,Perfumaria,Perfume Feminino,P1,29.72,0.52,202510,,26,,26,17,SKU_081,114012.52,59284.48,26,42,17,114012.52,59284.479999999996,4129.0,17,17,0.05190167640712425,ok,24723.51939725994,False,1.0,24723.51939725994,138736.03939725994,18521.787415489158,77806.26741548916,0.0,0.0,0.0,500000.0,500000.0,-422193.7325845108,-0.8443874651690216,-0.8443874651690216,Não paga a mídia,False,1
PROJ_2024_12,SKU_059,1200000.0,3837494.69,SKU_059,Eudora,Cabelos,Shampoo,P3,82.61,0.7,202510,202604.0,26,37.0,26,17,SKU_059,215323.38,150726.27,26,37,12,215323.38,150726.27,2810.0,12,17,0.05611040467654693,sem_incumbente,,False,1.0,,,,,0.0,0.0,0.0,1200000.0,1200000.0,,,,Não dá para medir: sem produto antigo na faixa,False,1
PROJ_2025_01,SKU_019,1200000.0,2855208.18,SKU_019,Eudora,Perfumaria,Perfume Feminino,P3,75.4,0.61,202511,202605.0,27,38.0,27,16,SKU_019,204393.08000000002,124678.76,27,38,12,204393.08000000002,124678.76,2939.0,12,16,0.07158605156419803,sem_incumbente,,True,1.0,,,,,0.0,0.0,0.0,1200000.0,1200000.0,,,,Não dá para medir: sem produto antigo na faixa,True,1
PROJ_2025_02,SKU_089,250000.0,541616.68,SKU_089,O Boticário,Corpo e Banho,Sabonete Líquido,P6,220.85,0.74,202601,,34,,34,9,SKU_089,389474.46,288211.73,34,42,9,389474.45999999996,288211.73,1911.0,9,9,0.7190961327114223,ok,24283.773847258773,True,1.0,24283.773847258773,413758.2338472587,14930.071794589327,303141.8017945893,0.0,0.0,0.0,250000.0,250000.0,53141.80179458932,0.21256720717835728,0.21256720717835728,Ano 1 incompleto,True,1
PROJ_2025_03,SKU_102,500000.0,2113216.69,SKU_102,Eudora,Corpo e Banho,Hidratante Corporal,P4,112.32,0.74,202509,,25,,25,17,SKU_102,461171.22,341267.3,25,42,18,441644.54,326817.50999999995,4249.0,18,17,0.20899160132981914,sem_incumbente,,False,1.0,,,,,0.0,0.0,0.0,500000.0,500000.0,,,,Não dá para medir: sem produto antigo na faixa,False,1
PROJ_2025_04,SKU_095,750000.0,2786819.49,SKU_095,Eudora,Cabelos,Condicionador,P2,51.28,0.65,202508,,24,,24,17,SKU_095,217335.82,141266.96,24,42,19,193929.3,126052.83,4109.0,19,17,0.06958803779573107,sem_incumbente,,False,1.0,,,,,0.0,0.0,0.0,750000.0,750000.0,,,,Não dá para medir: sem produto antigo na faixa,False,1
PROJ_2025_05,SKU_108,500000.0,1860942.29,SKU_108,Eudora,Perfumaria,Colônia Infantil,P5,148.84,0.5,202405,,4,,4,17,SKU_108,1479227.57,739613.76,4,42,39,718353.73,359176.86,5209.0,39,17,0.38601612412172115,sem_incumbente,,False,1.0,,,,,0.0,0.0,0.0,500000.0,500000.0,,,,Não dá para medir: sem produto antigo na faixa,False,1
PROJ_2025_06,SKU_092,500000.0,1063839.31,SKU_092,O Boticário,Cabelos,Máscara,P1,26.63,0.57,202502,,18,,18,6,SKU_092,153523.08,87510.5,18,42,25,37584.47,21423.780000000002,1536.0,25,6,0.03532908555522356,ok,432.0455685457341,True,1.0,432.0455685457341,38016.515568545736,258.2093374546512,21681.989337454652,0.0,0.0,0.0,500000.0,500000.0,-478318.01066254533,-0.9566360213250906,-0.9566360213250906,Ano 1 incompleto,True,1
PROJ_2025_07,SKU_082,500000.0,1967003.63,SKU_082,Eudora,Cabelos,Condicionador,P5,150.98,0.53,202503,,19,,19,17,SKU_082,790092.7,418750.93,19,42,24,566634.21,300317.44,4093.0,24,17,0.28806973274370623,sem_incumbente,,False,1.0,,,,,0.0,0.0,0.0,500000.0,500000.0,,,,Não dá para medir: sem produto antigo na faixa,False,1
PROJ_2025_08,SKU_039,2000000.0,6690298.0,SKU_039,Eudora,Cabelos,Shampoo,P5,162.66,0.71,202511,,27,,27,16,SKU_039,573325.86,407062.7,27,42,16,573325.86,407062.69999999995,3804.0,16,16,0.08569511552400207,ok,114976.3020905206,True,1.0,114976.3020905206,688302.1620905206,71727.99486361427,478790.6948636142,0.0,0.0,0.0,2000000.0,2000000.0,-1521209.3051363858,-0.7606046525681929,-0.7606046525681929,Ano 1 incompleto,True,1
PROJ_2025_09,SKU_118,2000000.0,8374930.81,SKU_118,Eudora,Perfumaria,Perfume Masculino,P4,111.0,0.58,202511,,27,,27,11,SKU_118,417419.77,242103.46,27,42,16,283037.45999999996,164161.8,2732.0,16,11,0.033795796815663484,ok,-1357.3682081554562,True,1.0,-1357.3682081554562,281680.0917918445,-704.2772466057777,163457.5227533942,0.0,0.0,0.0,2000000.0,2000000.0,-1836542.4772466058,-0.9182712386233028,-0.9182712386233028,Ano 1 incompleto,True,1
PROJ_2025_10,SKU_083,1200000.0,5398687.94,SKU_083,Eudora,Cabelos,Máscara,P1,24.24,0.56,202502,,18,,18,17,SKU_083,139676.69999999998,78215.67,18,42,25,97416.09000000001,54550.56999999999,4345.0,25,17,0.01804440098828902,ok,-1725.2334524380026,False,1.0,-1725.2334524380026,95690.85654756201,-1277.0467816358214,53273.52321836417,0.0,0.0,0.0,1200000.0,1200000.0,-1146726.4767816358,-0.9556053973180298,-0.9556053973180298,Não paga a mídia,False,1
PROJ_2025_11,SKU_053,1200000.0,4827619.65,SKU_053,Eudora,Perfumaria,Perfume Masculino,P3,68.2,0.57,202601,,34,,17,17,SKU_053,123323.18000000001,70293.57,34,42,9,0.0,0.0,0.0,9,17,0.0,fora_da_janela_da_celula,-14430.471621845385,False,0.0,,,,,0.0,0.0,0.0,1200000.0,1200000.0,,,,Não dá para medir: SKU nasceu depois da janela da célula,True,2
PROJ_2025_12,SKU_119,750000.0,2650735.64,SKU_119,O Boticário,Perfumaria,Perfume Feminino,P6,219.89,0.6,202404,,3,,3,17,SKU_119,2253419.4699999997,1352047.57,3,42,40,1067735.48,640639.44,5231.0,40,17,0.4028072297696197,sem_pre_periodo_suficiente,,False,1.0,,,,,0.0,0.0,0.0,750000.0,750000.0,,,,Não dá para medir: sem histórico antes do lançamento,False,1
PROJ_2025_13,SKU_112,750000.0,1609877.59,SKU_112,Eudora,Cabelos,Sérum,P6,221.36,0.6,202507,,23,,23,17,SKU_112,996841.4400000001,598106.61,23,42,20,855783.69,513471.65,4148.0,20,17,0.5315830814192525,sem_incumbente,,False,1.0,,,,,0.0,0.0,0.0,750000.0,750000.0,,,,Não dá para medir: sem produto antigo na faixa,False,1
