cod_sku_principal,cod_sku_similar,score,usable,motivo_exclusao
SKU_063,SKU_128,0.65,False,score_abaixo_corte
SKU_064,SKU_044,0.62,False,"score_abaixo_corte,subcategoria_diferente"
SKU_064,SKU_028,0.88,True,
SKU_065,SKU_094,,False,"score_nulo,subcategoria_diferente"
SKU_065,SKU_002,,False,"score_nulo,subcategoria_diferente"
SKU_065,SKU_134,0.62,False,"score_abaixo_corte,subcategoria_diferente"
SKU_066,SKU_093,,False,"score_nulo,subcategoria_diferente"
SKU_066,SKU_137,0.65,False,"score_abaixo_corte,subcategoria_diferente"
SKU_066,SKU_007,0.94,False,subcategoria_diferente
SKU_066,SKU_035,0.69,False,"score_abaixo_corte,subcategoria_diferente"
SKU_067,SKU_023,0.77,False,subcategoria_diferente
SKU_067,SKU_132,0.91,False,subcategoria_diferente
SKU_068,SKU_141,0.67,False,score_abaixo_corte
SKU_068,SKU_133,0.67,False,"score_abaixo_corte,subcategoria_diferente"
SKU_071,SKU_091,0.86,False,subcategoria_diferente
SKU_072,SKU_010,,False,"score_nulo,subcategoria_diferente"
SKU_072,SKU_081,0.64,False,"score_abaixo_corte,subcategoria_diferente"
SKU_072,SKU_045,0.72,False,subcategoria_diferente
SKU_072,SKU_114,0.66,False,"score_abaixo_corte,subcategoria_diferente"
SKU_073,SKU_130,,False,"score_nulo,subcategoria_diferente"
SKU_073,SKU_113,,False,"score_nulo,subcategoria_diferente"
SKU_073,SKU_013,0.81,False,subcategoria_diferente
SKU_074,SKU_054,0.82,False,subcategoria_diferente
SKU_074,SKU_094,,False,"score_nulo,subcategoria_diferente"
SKU_075,SKU_062,0.91,False,subcategoria_diferente
SKU_075,SKU_085,0.81,False,subcategoria_diferente
SKU_075,SKU_045,0.82,False,subcategoria_diferente
SKU_076,SKU_017,0.84,False,subcategoria_diferente
SKU_076,SKU_023,,False,"score_nulo,subcategoria_diferente"
SKU_076,SKU_016,0.86,False,subcategoria_diferente
SKU_077,SKU_144,0.91,False,subcategoria_diferente
SKU_077,SKU_036,0.98,False,subcategoria_diferente
SKU_077,SKU_143,0.9,False,subcategoria_diferente
SKU_077,SKU_059,,False,"score_nulo,subcategoria_diferente"
SKU_078,SKU_011,,False,"score_nulo,subcategoria_diferente"
SKU_078,SKU_023,0.97,False,subcategoria_diferente
SKU_079,SKU_106,0.91,False,subcategoria_diferente
SKU_079,SKU_035,0.65,False,"score_abaixo_corte,subcategoria_diferente"
SKU_080,SKU_148,0.98,False,subcategoria_diferente
SKU_080,SKU_088,0.68,False,"score_abaixo_corte,subcategoria_diferente"
SKU_080,SKU_143,0.73,False,subcategoria_diferente
SKU_086,SKU_063,0.72,False,subcategoria_diferente
SKU_086,SKU_143,0.93,False,subcategoria_diferente
SKU_086,SKU_119,0.9,False,subcategoria_diferente
SKU_087,SKU_114,,False,"score_nulo,subcategoria_diferente"
SKU_087,SKU_118,,False,"score_nulo,subcategoria_diferente"
SKU_087,SKU_071,0.68,False,"score_abaixo_corte,subcategoria_diferente"
SKU_088,SKU_023,0.62,False,score_abaixo_corte
SKU_088,SKU_096,0.6,False,"score_abaixo_corte,subcategoria_diferente"
SKU_088,SKU_047,0.98,False,subcategoria_diferente
SKU_091,SKU_074,0.63,False,"score_abaixo_corte,subcategoria_diferente"
SKU_091,SKU_004,0.91,False,subcategoria_diferente
SKU_092,SKU_115,,False,"score_nulo,subcategoria_diferente"
SKU_092,SKU_053,0.77,False,subcategoria_diferente
SKU_093,SKU_081,0.93,False,subcategoria_diferente
SKU_093,SKU_043,,False,"score_nulo,subcategoria_diferente"
SKU_093,SKU_075,0.8,False,subcategoria_diferente
SKU_093,SKU_108,0.77,False,subcategoria_diferente
SKU_094,SKU_078,0.92,False,subcategoria_diferente
SKU_094,SKU_011,0.9,True,
SKU_095,SKU_031,0.88,False,subcategoria_diferente
SKU_095,SKU_007,,False,"score_nulo,subcategoria_diferente"
SKU_095,SKU_117,0.88,False,subcategoria_diferente
SKU_096,SKU_099,0.6,False,"score_abaixo_corte,subcategoria_diferente"
SKU_096,SKU_104,0.84,False,subcategoria_diferente
SKU_097,SKU_100,0.69,False,score_abaixo_corte
SKU_097,SKU_150,0.89,False,subcategoria_diferente
SKU_098,SKU_018,0.66,False,"score_abaixo_corte,subcategoria_diferente"
SKU_098,SKU_103,0.67,False,"score_abaixo_corte,subcategoria_diferente"
SKU_098,SKU_044,0.69,False,"score_abaixo_corte,subcategoria_diferente"
SKU_099,SKU_119,0.85,False,subcategoria_diferente
SKU_099,SKU_058,,False,"score_nulo,subcategoria_diferente"
SKU_100,SKU_099,0.81,True,
SKU_100,SKU_015,0.62,False,"score_abaixo_corte,subcategoria_diferente"
SKU_100,SKU_107,0.82,False,subcategoria_diferente
SKU_100,SKU_092,0.72,False,subcategoria_diferente
SKU_101,SKU_053,0.66,False,"score_abaixo_corte,subcategoria_diferente"
SKU_104,SKU_137,0.86,False,subcategoria_diferente
SKU_104,SKU_047,0.8,False,subcategoria_diferente
SKU_105,SKU_079,0.91,False,subcategoria_diferente
SKU_105,SKU_027,,False,"score_nulo,subcategoria_diferente"
SKU_106,SKU_086,0.62,False,"score_abaixo_corte,subcategoria_diferente"
SKU_106,SKU_087,0.91,False,subcategoria_diferente
SKU_107,SKU_124,,False,"score_nulo,subcategoria_diferente"
SKU_107,SKU_015,0.7,True,
SKU_107,SKU_069,,False,"score_nulo,subcategoria_diferente"
SKU_108,SKU_062,0.78,False,subcategoria_diferente
SKU_108,SKU_125,0.62,False,"score_abaixo_corte,subcategoria_diferente"
SKU_108,SKU_106,0.97,True,
SKU_115,SKU_070,0.65,False,"score_abaixo_corte,subcategoria_diferente"
SKU_115,SKU_009,0.74,False,subcategoria_diferente
SKU_115,SKU_019,0.74,True,
SKU_115,SKU_122,0.76,True,
SKU_116,SKU_016,0.83,False,subcategoria_diferente
SKU_116,SKU_066,0.84,False,subcategoria_diferente
SKU_116,SKU_005,,False,"score_nulo,subcategoria_diferente"
SKU_116,SKU_089,,False,"score_nulo,subcategoria_diferente"
SKU_117,SKU_101,0.7,False,subcategoria_diferente
SKU_117,SKU_095,0.77,False,subcategoria_diferente
SKU_118,SKU_029,0.69,False,score_abaixo_corte
SKU_118,SKU_088,0.95,False,subcategoria_diferente
SKU_119,SKU_008,0.79,False,subcategoria_diferente
SKU_119,SKU_107,0.94,True,
SKU_120,SKU_056,,False,"score_nulo,subcategoria_diferente"
SKU_120,SKU_036,0.97,False,subcategoria_diferente
SKU_121,SKU_075,,False,"score_nulo,subcategoria_diferente"
SKU_121,SKU_045,0.97,False,subcategoria_diferente
SKU_122,SKU_066,0.89,False,subcategoria_diferente
SKU_122,SKU_057,0.82,False,subcategoria_diferente
SKU_123,SKU_010,0.85,False,subcategoria_diferente
SKU_123,SKU_136,0.87,False,subcategoria_diferente
SKU_123,SKU_030,0.69,False,"score_abaixo_corte,subcategoria_diferente"
SKU_124,SKU_084,0.94,False,subcategoria_diferente
SKU_124,SKU_066,0.67,False,"score_abaixo_corte,subcategoria_diferente"
SKU_124,SKU_115,0.9,False,subcategoria_diferente
SKU_124,SKU_011,0.68,False,"score_abaixo_corte,subcategoria_diferente"
SKU_125,SKU_034,0.75,False,subcategoria_diferente
SKU_125,SKU_130,,False,"score_nulo,subcategoria_diferente"
SKU_125,SKU_102,0.66,False,"score_abaixo_corte,subcategoria_diferente"
SKU_125,SKU_036,,False,"score_nulo,subcategoria_diferente"
SKU_126,SKU_087,0.76,False,subcategoria_diferente
SKU_126,SKU_037,,False,"score_nulo,subcategoria_diferente"
SKU_126,SKU_011,0.85,False,subcategoria_diferente
SKU_126,SKU_059,0.97,False,subcategoria_diferente
SKU_127,SKU_051,0.94,False,subcategoria_diferente
SKU_127,SKU_006,0.63,False,"score_abaixo_corte,subcategoria_diferente"
SKU_127,SKU_023,0.77,False,subcategoria_diferente
SKU_127,SKU_143,0.79,False,subcategoria_diferente
SKU_128,SKU_050,0.82,False,subcategoria_diferente
SKU_128,SKU_121,0.63,False,"score_abaixo_corte,subcategoria_diferente"
SKU_128,SKU_043,0.62,False,"score_abaixo_corte,subcategoria_diferente"
SKU_129,SKU_009,0.78,False,subcategoria_diferente
SKU_129,SKU_097,0.8,False,subcategoria_diferente
SKU_130,SKU_074,0.64,False,"score_abaixo_corte,subcategoria_diferente"
SKU_130,SKU_013,0.65,False,"score_abaixo_corte,subcategoria_diferente"
SKU_130,SKU_020,0.64,False,"score_abaixo_corte,subcategoria_diferente"
SKU_130,SKU_140,0.98,False,subcategoria_diferente
SKU_131,SKU_009,,False,"score_nulo,subcategoria_diferente"
SKU_131,SKU_055,0.74,False,subcategoria_diferente
SKU_131,SKU_023,0.71,False,subcategoria_diferente
SKU_131,SKU_117,0.86,False,subcategoria_diferente
SKU_132,SKU_123,0.76,False,subcategoria_diferente
SKU_132,SKU_109,0.9,False,subcategoria_diferente
SKU_133,SKU_015,0.87,False,subcategoria_diferente
SKU_133,SKU_083,0.72,False,subcategoria_diferente
SKU_134,SKU_098,0.93,False,subcategoria_diferente
SKU_134,SKU_073,,False,"score_nulo,subcategoria_diferente"
SKU_134,SKU_035,0.71,False,subcategoria_diferente
SKU_135,SKU_146,0.83,False,subcategoria_diferente
SKU_135,SKU_065,0.69,False,"score_abaixo_corte,subcategoria_diferente"
SKU_136,SKU_104,0.95,False,subcategoria_diferente
SKU_136,SKU_138,0.86,False,subcategoria_diferente
SKU_136,SKU_126,0.72,False,subcategoria_diferente
SKU_141,SKU_082,,False,"score_nulo,subcategoria_diferente"
SKU_141,SKU_116,0.72,False,subcategoria_diferente
SKU_142,SKU_116,,False,"score_nulo,subcategoria_diferente"
SKU_142,SKU_120,0.8,False,subcategoria_diferente
SKU_143,SKU_098,0.87,False,subcategoria_diferente
SKU_145,SKU_104,0.84,False,subcategoria_diferente
SKU_146,SKU_114,0.86,False,subcategoria_diferente
SKU_149,SKU_148,0.71,False,subcategoria_diferente
SKU_149,SKU_105,0.8,False,subcategoria_diferente
SKU_150,SKU_142,0.64,False,"score_abaixo_corte,subcategoria_diferente"
SKU_150,SKU_048,,False,"score_nulo,subcategoria_diferente"
SKU_150,SKU_082,0.69,False,"score_abaixo_corte,subcategoria_diferente"
SKU_150,SKU_141,0.85,False,subcategoria_diferente
